model,model_version,scenario,region,layer,group,year,value,unit,source_regions,source_variables,source_file_id
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2070,43.800236,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2080,47.666346,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2090,51.439743,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Secondary electricity,Other,2100,54.711772,EJ/yr,World,Secondary Energy|Electricity|Geothermal; Secondary Energy|Electricity|Hydrogen; Secondary Energy|Electricity|Other; Secondary Energy|Electricity|Storage; Secondary Energy|Electricity|Wave,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2020,58.632956,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2030,60.505172,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2040,50.661747,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2050,48.605140,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2060,44.289357,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
IMAGE,3.4,SSP1-L,World,Final energy,Passenger transport,2070,43.086871,EJ/yr,World,Final Energy|Transportation|Passenger,IMAGE 3.4_SSP1_L.xlsx
