case,system,pathway,commissioning_year,operation_year,period,view,contributor,score_total_kg_co2eq,score_per_net_tonne_kg_co2eq,denominator_net_stored_tonnes,rank,unit,provenance_id
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"wood chipping, mobile chipper, at forest road | FI",64967.03601529677,8.697380171440301,7469.724760178917,8,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant | ENC",62669.98717798311,8.389865649679175,7469.724760178917,9,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"harvesting, forestry harvester | FI",45366.62711888235,6.0734001017991615,7469.724760178917,10,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,treatment of sewage sludge by anaerobic digestion | RoW,40758.2916628692,5.456464993215218,7469.724760178917,11,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW | ENC",-33635.28640550193,-4.502881630232422,7469.724760178917,12,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat production, softwood chips from forest, at furnace 1000kW, state-of-the-art 2014 | ENC",-31527.589754817738,-4.220716394115515,7469.724760178917,13,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,"heat production, light fuel oil, at industrial furnace 1MW | ENC",-26042.143345904184,-3.4863591607464284,7469.724760178917,14,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,activity,Other activities,213032.15336605924,28.519411384704973,7469.724760178917,15,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,SE,-8765607.746594077,-1173.4847036564865,7469.724760178917,1,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,ENC,1599538.4905925891,214.13620206191862,7469.724760178917,2,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,DK,-203148.24820015798,-27.196216021658625,7469.724760178917,3,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,FI,-152601.13077546915,-20.429284300940427,7469.724760178917,4,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,RoW,83924.93969888467,11.235345664446474,7469.724760178917,5,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,GLO,48064.17861081806,6.434531412328346,7469.724760178917,6,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,CHA,39233.35005544704,5.2523153549913815,7469.724760178917,7,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,OAS,11476.24104751189,1.536367324896856,7469.724760178917,8,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,location,Other locations,119403.54253031344,15.984998960986275,7469.724760178917,9,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Forest regrowth,-8538779.819222614,-1143.1184003917824,7469.724760178917,1,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Harvesting and biomass supply,168982.0854747322,22.6222639923194,7469.724760178917,2,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Residual biogenic stack emissions,853878.0018494421,114.31184270690449,7469.724760178917,3,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,New CHP infrastructure and end-of-life,20239.426203215906,2.709527707247292,7469.724760178917,4,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Other CHP operating emissions,70877.5016238327,9.488636315179974,7469.724760178917,5,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Avoided Northern European electricity,-175419.75369563414,-23.484098722190726,7469.724760178917,6,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Avoided Northern European heat,-70559.83504955334,-9.446109102400618,7469.724760178917,7,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Capture electricity,0.0,0.0,7469.724760178917,8,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Compression and recompression,45798.12489548346,6.131166323508082,7469.724760178917,9,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Pipeline and geological storage,162997.68155263152,21.821109449918655,7469.724760178917,10,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Transport losses,215177.25646605933,28.80658436213992,7469.724760178917,11,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Capture chemicals and operating materials,16094.823259655115,2.1546742050599477,7469.724760178917,12,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,CCS infrastructure and end-of-life,10998.002883547622,1.4723437926626088,7469.724760178917,13,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2032,annual,process,Other CHP and CCS supply-chain GHG emissions,0.12072501694090777,1.616190968434239e-05,7469.724760178917,14,kg CO2-Eq,2bf05a0b33e5632afe17
BECCS,new CHP+CCS vs standing forest and Northern European energy,SSP2-NPi,2030,2033,annual,activity,"forest carbon regrowth differential, existing spruce forest vs standing stock, LCSS 2026 | SE",-8538779.455058046,-1143.1183516397093,7469.724760178917,1,kg CO2-Eq,aabae9e22b3f89e6d5e5
